state,participation_act,composite_act,year,participation_sat,ebrw_sat,math_sat,total_sat,composite_act_normalized,total_sat_normalized,avg_score
Alabama,1.0,19.2,2017,0.05,593,572,1165,0.5333333333333333,0.728125,0.6307291666666667
Alaska,0.65,19.8,2017,0.38,547,533,1080,0.55,0.675,0.6125
Arizona,0.62,19.7,2017,0.3,563,553,1116,0.5472222222222222,0.6975,0.6223611111111111
Arkansas,1.0,19.4,2017,0.03,614,594,1208,0.5388888888888889,0.755,0.6469444444444444
California,0.31,22.8,2017,0.53,531,524,1055,0.6333333333333333,0.659375,0.6463541666666667
Colorado,1.0,20.8,2017,0.11,606,595,1201,0.5777777777777778,0.750625,0.6642013888888889
Connecticut,0.31,25.2,2017,1.0,530,512,1041,0.7,0.650625,0.6753125
Delaware,0.18,24.1,2017,1.0,503,492,996,0.6694444444444445,0.6225,0.6459722222222223
District of Columbia,0.32,24.2,2017,1.0,482,468,950,0.6722222222222222,0.59375,0.632986111111111
Florida,0.73,19.8,2017,0.83,520,497,1017,0.55,0.635625,0.5928125
Georgia,0.55,21.4,2017,0.61,535,515,1050,0.5944444444444444,0.65625,0.6253472222222223
Hawaii,0.9,19.0,2017,0.55,544,541,1085,0.5277777777777778,0.678125,0.6029513888888889
Idaho,0.38,22.3,2017,0.93,513,493,1005,0.6194444444444445,0.628125,0.6237847222222223
Illinois,0.93,21.4,2017,0.09,559,556,1115,0.5944444444444444,0.696875,0.6456597222222222
Indiana,0.35,22.6,2017,0.63,542,532,1074,0.6277777777777778,0.67125,0.649513888888889
Iowa,0.67,21.9,2017,0.02,641,635,1275,0.6083333333333333,0.796875,0.7026041666666667
Kansas,0.73,21.7,2017,0.04,632,628,1260,0.6027777777777777,0.7875,0.6951388888888889
Kentucky,1.0,20.0,2017,0.04,631,616,1247,0.5555555555555556,0.779375,0.6674652777777779
Louisiana,1.0,19.5,2017,0.04,611,586,1198,0.5416666666666666,0.74875,0.6452083333333334
Maine,0.08,24.3,2017,0.95,513,499,1012,0.675,0.6325,0.65375
Maryland,0.28,23.6,2017,0.69,536,524,1060,0.6555555555555556,0.6625,0.6590277777777778
Massachusetts,0.29,25.4,2017,0.76,555,551,1107,0.7055555555555555,0.691875,0.6987152777777778
Michigan,0.29,24.1,2017,1.0,509,495,1005,0.6694444444444445,0.628125,0.6487847222222223
Minnesota,1.0,21.5,2017,0.03,644,651,1295,0.5972222222222222,0.809375,0.703298611111111
Mississippi,1.0,18.6,2017,0.02,634,607,1242,0.5166666666666667,0.77625,0.6464583333333334
Missouri,1.0,20.4,2017,0.03,640,631,1271,0.5666666666666667,0.794375,0.6805208333333334
Montana,1.0,20.3,2017,0.1,605,591,1196,0.5638888888888889,0.7475,0.6556944444444445
Nebraska,0.84,21.4,2017,0.03,629,625,1253,0.5944444444444444,0.783125,0.6887847222222222
Nevada,1.0,17.8,2017,0.26,563,553,1116,0.49444444444444446,0.6975,0.5959722222222222
New Hampshire,0.18,25.5,2017,0.96,532,520,1052,0.7083333333333334,0.6575,0.6829166666666666
New Jersey,0.34,23.9,2017,0.7,530,526,1056,0.6638888888888889,0.66,0.6619444444444444
New Mexico,0.66,19.7,2017,0.11,577,561,1138,0.5472222222222222,0.71125,0.6292361111111111
New York,0.31,24.2,2017,0.67,528,523,1052,0.6722222222222222,0.6575,0.6648611111111111
North Carolina,1.0,19.1,2017,0.49,546,535,1081,0.5305555555555556,0.675625,0.6030902777777778
North Dakota,0.98,20.3,2017,0.02,635,621,1256,0.5638888888888889,0.785,0.6744444444444444
